Cell Type;Cluster;Marker;Subclust_name;Clust_num;Subcluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SFRP2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;FBLN1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;DCN;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;MMP2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;WIF1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PI16;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;WISP2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CXCL14;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL1A1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;MFAP4;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;C1R;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CTHRC1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL6A2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL1A2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL6A1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CTSK;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CFD;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;NBL1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CFH;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SERPINF1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;IGFBP4;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;FBLN2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SOD3;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CLU;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;C1S;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;LUM;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;FHL1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PLAC9;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PPAP2B;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;TIMP1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;S100A6;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CD9;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;GSN;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PDGFRL;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SERPING1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CYBRD1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;ANGPTL5;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;THBS2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;DPT;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SLIT3;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CD99;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CPE;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL3A1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;MGP;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;OSR2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COMP;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;FSTL1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PCOLCE2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;MFAP5;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PTGDS;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;APOD;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CXCL12;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;GSN;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CFD;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;MGP;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CFH;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;C1S;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;DCN;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;RARRES2;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CCDC80;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;SERPING1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;C1R;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;LUM;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;SOD3;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;EFEMP1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;IGFBP3;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;GPC3;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;SERPINF1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;C3;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;SEPP1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;IGFBP6;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;DPT;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CYGB;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;ADH1B;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;C7;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;PLAC9;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;S100A13;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;ITM2A;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;MYOC;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;IGFBP7;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;FBLN2;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;ABCA8;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;APOE;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;PCOLCE;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;PLA2G2A;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;MXRA8;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;GGT5;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;LGALS3BP;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CCDC146;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;PPAP2B;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;NOVA1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;TMEM176B;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;EPHX1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;TNFSF13B;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;LTBP4;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;FGF7;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;NNMT;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;PTGDS;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;THY1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;NTRK2;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;COL1A2;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;COL1A1;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;COL3A1;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;LUM;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;DPT;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;POSTN;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;MFAP4;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;COL6A2;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;TNN;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;CTSK;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;COL6A1;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;ASPN;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;PRELP;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;TNMD;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;PCOLCE;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;PTGDS;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;MEG3;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;PTN;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;SPARC;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;VCAN;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;HTRA1;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;FIBIN;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;GPC3;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;SEPP1;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;FBLN2;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;THY1;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;Sep11;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;F2R;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;MDK;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;LRRC17;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;DKK2;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;CLEC11A;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;MFAP5;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;IGFBP5;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;MXRA8;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;LOXL1;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;DKK3;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;COL6A3;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;CCDC80;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;PRRX1;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;PDGFRL;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;SRPX;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;GLT8D2;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;TCF4;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;COL12A1;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;TMEM176B;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;PRSS23;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;MRPS6;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;CYR61;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 3;CTGF;Fibroblasts;3;Fibroblasts-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;KRT2;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;KRT1;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;DMKN;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;KRT10;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;KRTDAP;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;LY6D;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;LYPD3;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;SFN;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;LGALS7B;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;SBSN;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;PERP;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;S100A14;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;DSP;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;RHOV;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;AQP3;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;TACSTD2;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;KLK11;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;CLDN4;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;LGALS7;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;DSG1;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;PKP1;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;SERPINB5;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;DEGS1;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;NSG1;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;FXYD3;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;S100A16;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;DSC3;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;KCNK7;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;RAB25;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;PRSS3;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;DSC1;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;MAL2;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;JUP;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;KLF5;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;CCL27;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;CTNNBIP1;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;C19orf33;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;CALML5;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;PHLDA2;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;HSPB1;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;DAPL1;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;SCEL;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;TUBA4A;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keratinocyte;Cluster 1;CSTA;Keratinocyte;1;Keratinocyte-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
